OrderID,Order Date,State Code,Warehouse,Distribution Channel,Order Quantity,Unit Price
SO - 000149,07-05-2015,UT,AXW,Wholesale,21,62.08
SO - 000167,20-06-2016,UT,AXW,Wholesale,15,18.39
SO - 000170,23-01-2015,UT,AXW,Wholesale,32,12.48
SO - 000193,28-03-2015,UT,AXW,Wholesale,43,14.57
SO - 000250,05-04-2015,UT,AXW,Wholesale,29,15.61
SO - 000286,13-04-2015,UT,AXW,Wholesale,19,61.21
SO - 000304,04-12-2015,UT,AXW,Wholesale,21,16.55
SO - 000382,22-03-2016,UT,AXW,Wholesale,52,25.47
SO - 000424,02-06-2016,UT,AXW,Wholesale,50,14.02
SO - 000460,09-04-2015,UT,AXW,Wholesale,24,27.95
SO - 000488,20-12-2015,UT,AXW,Wholesale,31,30.89
SO - 000628,18-04-2015,UT,AXW,Wholesale,50,19.01
SO - 000691,16-02-2015,UT,AXW,Wholesale,40,38.10
SO - 000935,27-05-2015,UT,AXW,Wholesale,43,27.24
SO - 0001063,04-04-2016,UT,AXW,Wholesale,33,18.68
SO - 0001145,27-02-2016,UT,AXW,Wholesale,41,25.51
SO - 0001155,28-09-2015,UT,AXW,Wholesale,24,50.36
SO - 0001335,02-10-2015,UT,AXW,Wholesale,20,39.53
SO - 0001407,03-09-2015,UT,AXW,Wholesale,15,68.30
SO - 0001456,05-03-2016,UT,AXW,Wholesale,16,35.12
SO - 0001508,28-10-2015,UT,AXW,Wholesale,27,191.80
SO - 0001558,23-05-2015,UT,AXW,Wholesale,51,38.27
SO - 0001653,31-05-2015,UT,AXW,Wholesale,46,157.35
SO - 0001879,28-05-2016,UT,AXW,Wholesale,33,37.71
SO - 0001883,15-01-2016,UT,AXW,Wholesale,38,30.42
SO - 0001886,22-12-2015,UT,AXW,Wholesale,37,61.45
SO - 0001892,23-05-2016,UT,AXW,Wholesale,41,87.25
SO - 0001980,08-08-2015,UT,AXW,Wholesale,21,36.18
SO - 0001984,23-05-2015,UT,AXW,Wholesale,22,77.32
SO - 0002063,14-01-2015,UT,AXW,Wholesale,21,26.38
SO - 0002252,16-01-2015,UT,AXW,Wholesale,43,34.06
SO - 0002414,16-06-2015,UT,AXW,Wholesale,46,12.75
SO - 0002658,23-04-2015,UT,AXW,Wholesale,40,24.07
SO - 0002699,10-06-2016,UT,AXW,Wholesale,36,27.35
SO - 0002773,19-11-2015,UT,AXW,Wholesale,46,35.43
SO - 0002790,19-06-2016,UT,AXW,Wholesale,15,7.53
SO - 0002852,20-04-2015,UT,AXW,Wholesale,50,65.75
SO - 0002893,16-11-2015,UT,AXW,Wholesale,47,81.71
SO - 0002905,21-09-2015,UT,AXW,Wholesale,51,19.21
SO - 0003082,20-04-2016,UT,AXW,Wholesale,50,11.61
SO - 0003175,07-09-2015,UT,AXW,Wholesale,30,18.40
SO - 0003190,05-11-2015,UT,AXW,Wholesale,40,11.54
SO - 0003286,04-07-2015,UT,AXW,Wholesale,43,53.85
SO - 0003339,24-06-2016,UT,AXW,Wholesale,22,30.91
SO - 0003355,09-10-2015,UT,AXW,Wholesale,39,24.46
SO - 0003500,15-04-2016,UT,AXW,Wholesale,29,30.55
SO - 0003523,13-06-2016,UT,AXW,Wholesale,47,36.86
SO - 0003557,05-03-2015,UT,AXW,Wholesale,50,6.64
SO - 0003582,27-08-2015,UT,AXW,Wholesale,39,16.37
SO - 0003593,03-02-2016,UT,AXW,Wholesale,28,37.92
SO - 0003595,10-02-2015,UT,AXW,Wholesale,51,64.32
SO - 0003695,30-04-2016,UT,AXW,Wholesale,43,25.16
SO - 0003803,20-11-2015,UT,AXW,Wholesale,25,16.26
SO - 0003858,24-05-2015,UT,AXW,Wholesale,36,10.38
SO - 0004103,19-04-2016,UT,AXW,Wholesale,52,30.82
SO - 0004254,21-01-2016,UT,AXW,Wholesale,49,35.57
SO - 0004264,06-10-2015,UT,AXW,Wholesale,26,14.80
SO - 0004268,04-08-2015,UT,AXW,Wholesale,20,18.29
SO - 0004457,07-05-2016,UT,AXW,Wholesale,22,54.69
SO - 0004574,10-10-2015,UT,AXW,Wholesale,32,15.82
SO - 0004577,28-03-2015,UT,AXW,Wholesale,20,19.77
SO - 0004579,22-01-2015,UT,AXW,Wholesale,37,40.16
SO - 0004650,24-06-2016,UT,AXW,Wholesale,29,58.42
SO - 0004793,06-12-2015,UT,AXW,Wholesale,51,27.29
SO - 0004819,16-11-2015,UT,AXW,Wholesale,33,26.13
SO - 0004935,19-12-2015,UT,AXW,Wholesale,40,39.48
SO - 0004947,21-09-2015,UT,AXW,Wholesale,46,51.99
SO - 0004984,19-11-2015,UT,AXW,Wholesale,49,61.02
SO - 0004990,15-07-2015,UT,AXW,Wholesale,42,12.84
SO - 0005067,10-10-2015,UT,AXW,Wholesale,45,17.90
SO - 0005080,25-05-2015,UT,AXW,Wholesale,24,39.38
SO - 0005140,10-12-2015,UT,AXW,Wholesale,34,40.53
SO - 0005185,30-08-2015,UT,AXW,Wholesale,41,16.70
SO - 0005189,13-01-2016,UT,AXW,Wholesale,32,63.46
SO - 0005206,30-05-2016,UT,AXW,Wholesale,20,7.02
SO - 0005227,13-10-2015,UT,AXW,Wholesale,24,29.63
