State Code,Region,State
AL,South,Alabama
AK,West,Alaska
AZ,West,Arizona
AR,South,Arkansas
CA,West,California
CO,West,Colorado
CT,Northeast,Connecticut
DE,South,Delaware
DC,South,District of Columbia
FL,South,Florida
GA,South,Georgia
HI,West,Hawaii
ID,West,Idaho
IL,Midwest,Illinois
IN,Midwest,Indiana
IA,Midwest,Iowa
KS,Midwest,Kansas
KY,South,Kentucky
LA,South,Louisiana
ME,Northeast,Maine
MD,South,Maryland
MA,Northeast,Massachusetts
MI,Midwest,Michigan
MN,Midwest,Minnesota
MS,South,Mississippi
MO,Midwest,Missouri
MT,West,Montana
NE,Midwest,Nebraska
NV,West,Nevada
NH,Northeast,New Hampshire
NJ,Northeast,New Jersey
NM,West,New Mexico
NY,Northeast,New York
NC,South,North Carolina
ND,Midwest,North Dakota
OH,Midwest,Ohio
OK,South,Oklahoma
OR,West,Oregon
PA,Northeast,Pennsylvania
RI,Northeast,Rhode Island
SC,South,South Carolina
SD,Midwest,South Dakota
TN,South,Tennessee
TX,South,Texas
UT,West,Utah
VT,Northeast,Vermont
VA,South,Virginia
WA,Northeast,Washington
WV,South,West Virginia
WI,Midwest,Wisconsin
WY,Midwest,Wyoming
