OrderID,Order Date,State Code,Warehouse,Distribution Channel,Order Quantity,Unit Price
SO - 000149,2015-07-05,UT,AXW,Wholesale,21,62.08
SO - 000167,2016-06-20,UT,AXW,Wholesale,15,18.39
SO - 000170,2015-01-23,UT,AXW,Wholesale,32,12.48
SO - 000193,2015-03-28,UT,AXW,Wholesale,43,14.57
SO - 000250,2015-05-04,UT,AXW,Wholesale,29,15.61
SO - 000286,2015-04-13,UT,AXW,Wholesale,19,61.21
SO - 000304,2015-04-12,UT,AXW,Wholesale,21,16.55
SO - 000382,2016-03-22,UT,AXW,Wholesale,52,25.47
SO - 000424,2016-02-06,UT,AXW,Wholesale,50,14.02
SO - 000460,2015-09-04,UT,AXW,Wholesale,24,27.95
SO - 000488,2015-12-20,UT,AXW,Wholesale,31,30.89
SO - 000628,2015-04-18,UT,AXW,Wholesale,50,19.01
SO - 000691,2015-02-16,UT,AXW,Wholesale,40,38.1
SO - 000935,2015-05-27,UT,AXW,Wholesale,43,27.24
SO - 0001063,2016-04-04,UT,AXW,Wholesale,33,18.68
SO - 0001145,2016-02-27,UT,AXW,Wholesale,41,25.51
SO - 0001155,2015-09-28,UT,AXW,Wholesale,24,50.36
SO - 0001335,2015-02-10,UT,AXW,Wholesale,20,39.53
SO - 0001407,2015-03-09,UT,AXW,Wholesale,15,68.3
SO - 0001456,2016-05-03,UT,AXW,Wholesale,16,35.12
SO - 0001508,2015-10-28,UT,AXW,Wholesale,27,191.8
SO - 0001558,2015-05-23,UT,AXW,Wholesale,51,38.27
SO - 0001653,2015-05-31,UT,AXW,Wholesale,46,157.35
SO - 0001879,2016-05-28,UT,AXW,Wholesale,33,37.71
SO - 0001883,2016-01-15,UT,AXW,Wholesale,38,30.42
SO - 0001886,2015-12-22,UT,AXW,Wholesale,37,61.45
SO - 0001892,2016-05-23,UT,AXW,Wholesale,41,87.25
SO - 0001980,2015-08-08,UT,AXW,Wholesale,21,36.18
SO - 0001984,2015-05-23,UT,AXW,Wholesale,22,77.32
SO - 0002063,2015-01-14,UT,AXW,Wholesale,21,26.38
SO - 0002252,2015-01-16,UT,AXW,Wholesale,43,34.06
SO - 0002414,2015-06-16,UT,AXW,Wholesale,46,12.75
SO - 0002658,2015-04-23,UT,AXW,Wholesale,40,24.07
SO - 0002699,2016-10-06,UT,AXW,Wholesale,36,27.35
SO - 0002773,2015-11-19,UT,AXW,Wholesale,46,35.43
SO - 0002790,2016-06-19,UT,AXW,Wholesale,15,7.53
SO - 0002852,2015-04-20,UT,AXW,Wholesale,50,65.75
SO - 0002893,2015-11-16,UT,AXW,Wholesale,47,81.71
SO - 0002905,2015-09-21,UT,AXW,Wholesale,51,19.21
SO - 0003082,2016-04-20,UT,AXW,Wholesale,50,11.61
SO - 0003175,2015-07-09,UT,AXW,Wholesale,30,18.4
SO - 0003190,2015-05-11,UT,AXW,Wholesale,40,11.54
SO - 0003286,2015-04-07,UT,AXW,Wholesale,43,53.85
SO - 0003339,2016-06-24,UT,AXW,Wholesale,22,30.91
SO - 0003355,2015-09-10,UT,AXW,Wholesale,39,24.46
SO - 0003500,2016-04-15,UT,AXW,Wholesale,29,30.55
SO - 0003523,2016-06-13,UT,AXW,Wholesale,47,36.86
SO - 0003557,2015-05-03,UT,AXW,Wholesale,50,6.64
SO - 0003582,2015-08-27,UT,AXW,Wholesale,39,16.37
SO - 0003593,2016-03-02,UT,AXW,Wholesale,28,37.92
SO - 0003595,2015-10-02,UT,AXW,Wholesale,51,64.32
SO - 0003695,2016-04-30,UT,AXW,Wholesale,43,25.16
SO - 0003803,2015-11-20,UT,AXW,Wholesale,25,16.26
SO - 0003858,2015-05-24,UT,AXW,Wholesale,36,10.38
SO - 0004103,2016-04-19,UT,AXW,Wholesale,52,30.82
SO - 0004254,2016-01-21,UT,AXW,Wholesale,49,35.57
SO - 0004264,2015-06-10,UT,AXW,Wholesale,26,14.8
SO - 0004268,2015-04-08,UT,AXW,Wholesale,20,18.29
SO - 0004457,2016-07-05,UT,AXW,Wholesale,22,54.69
SO - 0004574,2015-10-10,UT,AXW,Wholesale,32,15.82
SO - 0004577,2015-03-28,UT,AXW,Wholesale,20,19.77
SO - 0004579,2015-01-22,UT,AXW,Wholesale,37,40.16
SO - 0004650,2016-06-24,UT,AXW,Wholesale,29,58.42
SO - 0004793,2015-06-12,UT,AXW,Wholesale,51,27.29
SO - 0004819,2015-11-16,UT,AXW,Wholesale,33,26.13
SO - 0004935,2015-12-19,UT,AXW,Wholesale,40,39.48
SO - 0004947,2015-09-21,UT,AXW,Wholesale,46,51.99
SO - 0004984,2015-11-19,UT,AXW,Wholesale,49,61.02
SO - 0004990,2015-07-15,UT,AXW,Wholesale,42,12.84
SO - 0005067,2015-10-10,UT,AXW,Wholesale,45,17.9
SO - 0005080,2015-05-25,UT,AXW,Wholesale,24,39.38
SO - 0005140,2015-10-12,UT,AXW,Wholesale,34,40.53
SO - 0005185,2015-08-30,UT,AXW,Wholesale,41,16.7
SO - 0005189,2016-01-13,UT,AXW,Wholesale,32,63.46
SO - 0005206,2016-05-30,UT,AXW,Wholesale,20,7.02
SO - 0005227,2015-10-13,UT,AXW,Wholesale,24,29.63
SO - 0005267,2015-08-02,UT,AXW,Wholesale,15,34.24
SO - 0005381,2015-07-23,UT,AXW,Wholesale,47,6.88
SO - 0005416,2015-12-11,UT,AXW,Wholesale,50,13.96
SO - 0005582,2015-07-01,UT,AXW,Wholesale,38,16.14
SO - 0005619,2015-01-28,UT,AXW,Wholesale,18,164.38
SO - 0005689,2015-05-12,UT,AXW,Wholesale,15,25.38
SO - 0005836,2015-03-08,UT,AXW,Wholesale,27,30.52
SO - 0005865,2016-06-02,UT,AXW,Wholesale,44,16.2
SO - 0005895,2016-06-28,UT,AXW,Wholesale,17,65.29
SO - 0005984,2015-09-11,UT,AXW,Wholesale,27,26.73
SO - 0006008,2016-01-23,UT,AXW,Wholesale,52,30.33
SO - 0006020,2015-09-17,UT,AXW,Wholesale,17,11.33
SO - 0006046,2015-03-11,UT,AXW,Wholesale,37,51.46
SO - 0006228,2016-04-04,UT,AXW,Wholesale,43,18.84
SO - 0006307,2015-07-13,UT,AXW,Wholesale,29,26.73
SO - 0006328,2015-09-05,UT,AXW,Wholesale,35,56.55
SO - 0006331,2015-09-04,UT,AXW,Wholesale,42,63.55
SO - 0006417,2015-05-16,UT,AXW,Wholesale,38,14.91
SO - 0006426,2016-02-24,UT,AXW,Wholesale,27,31.09
SO - 0006478,2015-05-30,UT,AXW,Wholesale,32,14.61
SO - 0006544,2016-04-28,UT,AXW,Wholesale,29,31.92
SO - 0006562,2016-04-13,UT,AXW,Wholesale,41,62.38
SO - 0006600,2015-12-23,UT,AXW,Wholesale,26,93.84
SO - 0006619,2016-12-06,UT,AXW,Wholesale,23,83.31
SO - 0006869,2015-06-25,UT,AXW,Wholesale,16,17.26
SO - 0006945,2015-10-21,UT,AXW,Wholesale,33,19.23
SO - 0007144,2015-10-15,UT,AXW,Wholesale,37,31.58
SO - 0007168,2016-03-27,UT,AXW,Wholesale,48,63.13
SO - 0007279,2015-05-30,UT,AXW,Wholesale,18,17.23
SO - 0007658,2015-04-12,UT,AXW,Wholesale,29,25.67
SO - 0007674,2016-08-01,UT,AXW,Wholesale,43,15.94
SO - 0007900,2015-03-31,UT,AXW,Wholesale,37,27.05
SO - 0007910,2016-02-25,UT,AXW,Wholesale,42,15.97
SO - 0008073,2016-04-28,UT,AXW,Wholesale,21,19.06
SO - 000215,2015-08-04,CA,AXW,Wholesale,24,25.24
SO - 000335,2015-03-19,CA,AXW,Wholesale,40,13.03
SO - 000536,2015-05-19,CA,AXW,Wholesale,27,37.56
SO - 000837,2015-12-11,CA,AXW,Wholesale,25,60.86
SO - 000881,2015-05-23,CA,AXW,Wholesale,41,25.53
SO - 000916,2015-10-12,CA,AXW,Wholesale,20,77.11
SO - 000959,2015-05-16,CA,AXW,Wholesale,22,30.74
SO - 0001153,2015-09-27,CA,AXW,Wholesale,26,16.13
SO - 0001157,2015-11-11,CA,AXW,Wholesale,25,24.42
SO - 0001268,2016-02-23,CA,AXW,Wholesale,18,36.2
SO - 0001304,2016-01-21,CA,AXW,Wholesale,34,25.42
SO - 0001317,2016-02-19,CA,AXW,Wholesale,47,154.31
SO - 0001341,2016-04-03,CA,AXW,Wholesale,24,173.47
SO - 0001419,2016-05-03,CA,AXW,Wholesale,51,10.8
SO - 0001434,2016-03-26,CA,AXW,Wholesale,44,13.62
SO - 0001481,2016-04-27,CA,AXW,Wholesale,22,10.04
